ServiceID,ServiceNameAr,ServiceNameEn,EntityAr,EntityEn,EntityID,EntityDepartmentAr,EntityDepartmentEn,Beneficiary,MainService,DescriptionAr,DescriptionEn,SpecialConditionsAr,SpecialConditionsEn,RequiredDocumentsAr,RequiredDocumentsEn,FeesAr,FeesEn,PaymentMethod,AvgTimeTakenAr,AvgTimeTakenEn,WorkingTimeAr,WorkingTimeEn,Channels,InputChannelOthers,CustomerCarePhone,Website,ProcessStepsAr,ProcessStepsEn,NumSteps,AudienceVisitCount,ServiceURL
120000,عرض حالة الطلب,View application Status,وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",,هذه الخدمة تسمح للمستخدم بعرض حالة الطلب وهي متاحة للجمهور . ينبغي على المستخدم معرفة رقم الطلب و تاريخ إرسال الطلب أو رقم هوية مقدم الطلب. المستخدمين المؤهلين,This service allows the user to view application status. It is available for public. User should know the reference number of the application and either the submission date or the applicant ID number in order to find the application. Eligible Users,لا توجد موافقات مطلوبة. رسوم الخدمة,No approvals are required Service Fees,لا توجد مستندات مطلوبة . الموافقات المطلوبة,No documents are required. Required Approvals,لا توجد رسوم للخدمة. الوصول والتسليم في الوقت المحدد,Service is free of charge. Access and Delivery Time,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,اضغط على ابدأ الخدمة وأدخل معايير البحث في الحقول المطلوبة في استمارة الخدمة الإلكترونية . المستندات المطلوبة,Press start the service and enter search criteria in required fields of the service form. Required Documents,,,https://www.business.gov.om/ieasy/wp/ar/services/%D8%B9%D8%B1%D8%B6-%D8%AD%D8%A7%D9%84%D8%A9-%D8%A7%D9%84%D8%B7%D9%84%D8%A8/
120001,بحث في السجلات التجارية,Search Commercial Registrations,وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",,هذه الخدمة تسمح للمستخدم بالبحث في بيانات السجل التجاري في سلطنة عمان وهي متاحة للجمهور. من نتائج البحث يمكن للمستخدم عرض بيانات السجل التجاري. يمكن استخدام البحث المتقدم للبحث بمعايير أكثر. المستخدمين المؤهلين,"This service allows user to search the commercial registrations’ information in Oman. It is available for public. From the search result, the user can view details of the commercial registration. User can use the Advanced Search to search by more search criteria. Eligible Users",لا توجد موافقات مطلوبة. رسوم الخدمة,No approvals are required. Service Fees,لا توجد مستندات مطلوبة. الموافقات المطلوبة,No documents are required. Required Approvals,لا توجد رسوم للخدمة. الوصول والتسليم في الوقت المحدد,Service is free of charge. Access and Delivery Time,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,اضغط على ابدأ الخدمة وأدخل معايير البحث في الحقول المطلوبة في استمارة الخدمة الإلكترونية. المستندات المطلوبة,Press start the service and enter search criteria in required fields of the service form. Required Documents,,,https://www.business.gov.om/ieasy/wp/ar/services/%D8%A8%D8%AD%D8%AB-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D8%AC%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9/
120002,بحث في الإعلانات العامة,Search Public Announcements,وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",,هذه الخدمة تسمح للمستخدم بالبحث في الإعلانات العامة للسجلات التجارية وهي متاحة للجمهور. من نتائج البحث يمكن للمستخدم عرض بيانات الإعلان العام. المستخدمين المؤهلين,"This service allows user to search the published public announcements for the commercial registrations. It is available for public. From the search result, the user can view details of the public announcement. Eligible Users",لا توجد موافقات مطلوبة. رسوم الخدمة,No approvals are required. Service Fees,لا توجد مستندات مطلوبة . الموافقات المطلوبة,No documents are required Required Approvals,لا توجد رسوم للخدمة. الوصول والتسليم في الوقت المحدد,Service is free of charge. Access and Delivery Time,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,اضغط على ابدأ الخدمة وأدخل معايير البحث في الحقول المطلوبة في الخدمة . المستندات المطلوبة,Press start the service and enter search criteria in required fields of the service. Required Documents,,,https://www.business.gov.om/ieasy/wp/ar/services/%D8%A8%D8%AD%D8%AB-%D9%81%D9%8A-%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9/
120003,طلب الشهادات التجارية,Request Business Certificates,وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",,هذه الخدمة تسمح بطلب الشهادات التجارية وهي متاحة للجمهور. الشهادة تكون متاحة للتنزيل بعد دفع الرسوم مباشرة. في حالة أن المستخدم مسجل للدخول على النظام فإن الشهادات المطلوبة ستكون متاحة في قائمة شهاداتي التجارية . المستخدمين المؤهلين,"This service allows to request business certificates. It is available for public. The certificate is available for download immediately after payment has been processed. If the user is logged in, the requested certificate will be available also in My Requested Business Certificates Eligible Users",لا توجد موافقات مطلوبة. رسوم الخدمة,No approvals are required. Service Fees,لا توجد مستندات مطلوبة . الموافقات المطلوبة,No documents are required. Required Approvals,5 ريالات عمانية لكل شهادة. الوصول والتسليم في الوقت المحدد,5 OMR per certificate. Access and Delivery Time,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,اضغط على ابدأ الخدمة واتبع التعليمات المتاحة . المستندات المطلوبة,Press start the service and follow the available instructions. Required Documents,,,https://www.business.gov.om/ieasy/wp/ar/services/%D8%B7%D9%84%D8%A8-%D8%A7%D9%84%D8%B4%D9%87%D8%A7%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9/
120004,قائمة شهاداتي التجارية,My Requested Business Certificates,وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",,هذه الخدمة تعرض قائمة الشهادات التجارية التي تم طلبها من قبل المستخدم الحالي. كما تسمح للمستخدم بتنزيل الشهادات. ملاحظة: الشهادات المطلوبة تكون متاحة لمدة 5 أيام من تاريخ طلبها. المستخدمين المؤهلين,This service shows list of all business certificates requested by the current user. It also allows the user to download the certificates. Note: requested certificates will be available only for 5 days from the request date. Eligible Users,لا توجد موافقات مطلوبة. رسوم الخدمة,No approvals are required. Service Fees,لا توجد مستندات مطلوبة . الموافقات المطلوبة,No documents are required. Required Approvals,لا توجد رسوم للخدمة. الوصول والتسليم في الوقت المحدد,Service is free of charge. Access and Delivery Time,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,اضغط على ابدأ الخدمة واتبع التعليمات المتاحة . المستندات المطلوبة,Press start the service and follow the available instructions. Required Documents,,,https://www.business.gov.om/ieasy/wp/ar/services/%D9%82%D8%A7%D8%A6%D9%85%D8%A9-%D8%B4%D9%87%D8%A7%D8%AF%D8%A7%D8%AA%D9%8A-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9/
120005,بحث في الالتزامات,Search Obligations List,وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",,هذه الخدمة تسمح بالبحث عن التزامات السجلات التجارية (الشركات) تجاه الجهات الحكومية عن طريق إدخال معايير البحث في نموذج البحث وهي متاحة للجمهور. المستخدمين المؤهلين,This service allows to search for Commercial Registrations’ obligations toward the government by entering some criteria in the search form. it is allowed for public. Eligible Users,لا توجد موافقات مطلوبة. رسوم الخدمة,No approvals are required. Service Fees,لا توجد مستندات مطلوبة . الموافقات المطلوبة,No documents are required. Required Approvals,لا توجد رسوم للخدمة. الوصول والتسليم في الوقت المحدد,Service is free of charge. Access and Delivery Time,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,اضغط على ابدأ الخدمة وأدخل معايير البحث في الحقول المطلوبة في استمارة الخدمة الإلكترونية . المستندات المطلوبة,Press Start the Service and enter search criteria in required fields of the service form. Required Documents,,,https://www.business.gov.om/ieasy/wp/ar/services/%D8%A8%D8%AD%D8%AB-%D9%81%D9%8A-%D8%A7%D9%84%D8%A7%D9%84%D8%AA%D8%B2%D8%A7%D9%85%D8%A7%D8%AA/
120006,قائمة الأنشطة الاقتصادية,Business Activities List (ISIC),وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,من الحكومة الى الأفراد(G2C),,هذه الخدمة تعرض قائمة جميع الأنشطة الاقتصادية المتوفرة في استثمر بسهولة. ويمكن للمستخدم فرز القائمة بإدخال معايير الفرز. المستخدمين المؤهلين,"This service shows list of all business activities, user can filter results table by entering criteria into the filter fields. Eligible Users",لا توجد موافقات مطلوبة. رسوم الخدمة,No approvals are required. Service Fees,لا توجد مستندات مطلوبة. الموافقات المطلوبة,No documents are required. Required Approvals,لا توجد رسوم للخدمة. الوصول والتسليم في الوقت المحدد,Service is free of charge. Access and Delivery Time,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,اضغط على ابدأ الخدمة وأدخل معايير البحث في الحقول المطلوبة في استمارة الخدمات الإلكترونية. المستندات المطلوبة,Press Start the Service and enter search criteria in required fields of the service form. Required Documents,,,https://www.business.gov.om/ieasy/wp/ar/services/%D9%82%D8%A7%D8%A6%D9%85%D8%A9-%D8%A7%D9%84%D8%A3%D9%86%D8%B4%D8%B7%D8%A9-%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%D9%8A%D8%A9/
120007,طلب استرجاع مبلغ,Apply For Refund,وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,من الحكومة إلى قطاع الأعمال(G2B),,طلب استرجاع مبلغ المستخدمين المؤهلين,Apply For Refund Eligible Users,طلب استرجاع مبلغ رسوم الخدمة,Apply For Refund Service Fees,طلب استرجاع مبلغ الموافقات المطلوبة,Apply For Refund Required Approvals,طلب استرجاع مبلغ الوصول والتسليم في الوقت المحدد,Apply For Refund Access and Delivery Time,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,طلب استرجاع مبلغ المستندات المطلوبة,Apply For Refund Required Documents,,,https://www.business.gov.om/ieasy/wp/ar/services/%D8%B7%D9%84%D8%A8-%D8%A7%D8%B3%D8%AA%D8%B1%D8%AC%D8%A7%D8%B9-%D9%85%D8%A8%D9%84%D8%BA/
120008,إنشاء سجل تجاري جديد,New Commercial Registration,وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,من الحكومة إلى قطاع الأعمال(G2B),,هذه الخدمة تسمح بإنشاء سجل تجاري جديد. قبل البدء في الخدمة، على مقدم الطلب قراءة التعليمات أدناه والموافقة على الشروط والأحكام. يتحمل مقدم الطلب المسؤولية الكاملة للسجل التجاري وتبعاته.,"This service allows to create of a new commercial registration. Before starting the service, the applicant has to read the below instructions and agree to the terms and conditions. He has full responsibility for the commercial registration and its consequences.",,,البطاقة المدنية ; جواز السفر (لغير العمانيين) ; صورة شخصية حديثة ; وثيقة تأكيد العنوان ; شهادة عدم ممانعة من الجهة الراعية (إن وجدت),Civil ID ; Passport (for non-Omanis) ; Recent passport-sized photograph ; Proof of address ; No-objection certificate from sponsoring entity (if applicable),.لا يحق لمقدم الطلب استرداد الرسوم المدفوعة مقابل الخدمة المقدمة في حال العدول عن الطلب 2.12.0.0 2.12.0.0 2.12.0.0 2.12.0.0 2.12.0.0 اسم السجل التجاري,The applicant is not entitled to refund the fees paid in return for the service provided in case of application cancellation. Commercial Name,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,,,,,https://www.business.gov.om/ieasy/wp/ar/services/%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%B3%D8%AC%D9%84-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D8%AC%D8%AF%D9%8A%D8%AF/
120009,سجلي التجاري,My CR,وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",,لوحة معلومات السجل التجاري تعرض بيانات مختصرة عن السجل التجاري وعن الإجراءات الأخيرة التي جرت عليه 2.12.0.0 2.12.0.0 2.12.0.0 المستخدمين المؤهلين,My CR is a dashboard which shows summary information about the commercial registration and recent updates of actions done on it. 2.12.0.0 Eligible Users,لا توجد موافقات مطلوبة. 2.12.0.0 2.12.0.0 2.12.0.0 رسوم الخدمة,No approvals are required. 2.12.0.0 Service Fees,لا توجد مستندات مطلوبة. 2.12.0.0 2.12.0.0 2.12.0.0 الموافقات المطلوبة,No documents are required. 2.12.0.0 Required Approvals,لا توجد رسوم للخدمة. 2.12.0.0 2.12.0.0 2.12.0.0 الوصول والتسليم في الوقت المحدد,The service is free of charge. 2.12.0.0 Access and Delivery Time,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,اضغط على ابدأ الخدمة واتبع التعليمات المتاحة. 2.12.0.0 2.12.0.0 2.12.0.0 المستندات المطلوبة,Press Start the Service and follow the available instructions. 2.12.0.0 Required Documents,,,https://www.business.gov.om/ieasy/wp/ar/services/%D8%B3%D8%AC%D9%84%D9%8A-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A/
120010,طلباتي,My Applications,وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,من الحكومة الى الأفراد(G2C),,هذه الخدمة تعرض قائمة الطلبات المقدمة بواسطة المستخدم الحالي. كما يمكن للمستخدم عرض تفاصيل الطلب والقيام بتنفيذ أي مهمة مسندة له في الطلب (إن وُجدت). 2.12.0.0 المستخدمين المؤهلين,"This service shows list of all applications, which were submitted by the current user. The user can view the application details and in case the application contains a task assigned to him, he can perform it. 2.12.0.0 Eligible Users",لا توجد موافقات مطلوبة. 2.12.0.0 رسوم الخدمة,No approvals are required. 2.12.0.0 Service Fees,لا توجد مستندات مطلوبة . 2.12.0.0 الموافقات المطلوبة,No documents are required 2.12.0.0 Required Approvals,لا توجد رسوم للخدمة. 2.12.0.0 الوصول والتسليم في الوقت المحدد,The service is free of charge. 2.12.0.0 Access and Delivery Time,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,اضغط على ابدأ الخدمة واتبع التعليمات المتاحة . 2.12.0.0 المستندات المطلوبة,Press Start the Service and follow the available instructions. 2.12.0.0 Required Documents,,,https://www.business.gov.om/ieasy/wp/ar/services/%D8%B7%D9%84%D8%A8%D8%A7%D8%AA%D9%8A/
120011,طلبات سجلي التجاري,My CR Applications,وزارة التجارة والصناعة وترويج الإستثمار,"Ministry of Commerce, Industry and Investment Promotion",110,,,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",,هذه الخدمة تعرض قائمة الطلبات المقدمة بواسطة أي مستخدم للسجل التجاري المختار أو طلبات إنشاء السجل التجاري الجديد قيد الإجراء. هذه الطلبات ستكون متاحة للمستثمرين والمفوضين بالتوقيع والأشخاص المفوضين. كما يمكن للمستخدم عرض تفاصيل الطلب والقيام بتنفيذ أي مهمة مسندة له في الطلب (إن وُجدت). 2.12.0.0 المستخدمين المؤهلين,"This service shows list of all applications, which were submitted by any user for the selected commercial registration, or new commercial registration in progress. It will be available for investors, authorized signatories, and delegated persons. The user can view the application details and in case the application contains a task assigned to him, he can perform it. 2.12.0.0 2.12.0.0 Eligible Users",لا توجد موافقات مطلوبة. 2.12.0.0 رسوم الخدمة,No approvals are required. 2.12.0.0 2.12.0.0 Service Fees,لا توجد مستندات مطلوبة . 2.12.0.0 الموافقات المطلوبة,No documents are required. 2.12.0.0 2.12.0.0 Required Approvals,لا توجد رسوم للخدمة. 2.12.0.0 الوصول والتسليم في الوقت المحدد,The service is free of charge. 2.12.0.0 2.12.0.0 Access and Delivery Time,الكتروني,,,,,بوابة منصة عُمان للأعمال (business.gov.om),,+968 80000070,www.business.gov.om,اضغط على ابدأ الخدمة واتبع التعليمات المتاحة . 2.12.0.0 المستندات المطلوبة,Press Start the Service and follow the available instructions. 2.12.0.0 2.12.0.0 Required Documents,,,https://www.business.gov.om/ieasy/wp/ar/services/%D8%B7%D9%84%D8%A8%D8%A7%D8%AA-%D8%B3%D8%AC%D9%84%D9%8A-%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A/
