ID	GoogleTitle
336	خدمات التراخيص والتصاريح
338	نقل الركاب والبضائع
405	خدمة الاستضافة السحابية ومراكز البيانات
406	خدمات التقييم الأمني
617	إلغاء ترخيص تأجير وسائل النقل البري للركاب بدون سائق
631	إصدار تصريح إنشاء التقاطعات أو المداخل أو المخارج
632	تجديد تصريح إنشاء التقاطعات أو المداخل أو المخارج
633	إصدار تراخيص تأجير معدات النقل البحري
634	إصدار تصريح الحفر أو القطع على الطريق أو بجانبه في آن واحد
635	تجديد تراخيص تأجير معدات النقل البحري
638	إلغاء تراخيص تأجير معدات النقل البحري
653	طلب إعتماد مواد الطرق
673	طلب الموافقة والإعتماد على تصاميم الطرق من الإستشاري
675	طلب مراجعة المداخل والمخارج الخاصة بالمخططات الإسكانية
676	طلب التأكد من عدم تأثر المخططات الإسكانية بمشاريع الطرق
677	مواقع الأنابيب الخدمية
679	طلبات شبكة أطوال الطرق
735	طلب إلغاء الإعتماد لمزودي خدمات تقنية المعلومات
771	إصدار ترخيص نقل إسطوانات الغاز
773	تجديد ترخيص نقل أسطوانات الغاز
781	إصدار بدل تالف شهادة الإرشاد البحري
785	طلبات إعتماد التحويلات المرورية المؤقتة
799	إلغاء ترخيص النقل البري بالشاحنات للمواد النفطية والغازية
813	طلب رفع سعة خط الخدمة الشبكة الحكومية
816	إصدار شهادات إلكترونية للهاتف المحمول
817	بوابة الهوية الإلكترونية للخدمات الحكومية والخاصة
818	إلغاء شهادات التصديق الإلكتروني للأجهزة والخوادم الأمنية
821	إلغاء شهادات إلكترونية في شريحة الهاتف المحمول
839	إصدار إقرار الإعتراف للبحارة العاملين على متن السفن المبحرة
843	إلغاء ترخيص نقل وشحن المركبات
910	إلغاء تراخيص لممارسة نشاط التاكسي المائي
911	طلب إضافة شريك للسفينة أو الوحدة البحرية
920	تغيير بيانات السفينة أو الوحدة البحرية
928	إلغاء ترخيص ملاحي للسفن والوحدات البحرية
938	إصدار شهادة تعليق تسجيل سفينة
956	تجديد وثيقة الإعتراف بالشهادات الاجنبية للبحارة العاملين ...
957	إصدار بدل فاقد شهادة الكفاءة البحرية
959	إصدار وثيقة الإعتراف بالشهادات الاجنبية للبحارة العاملين ...
962	إصدار بدل فاقد إقرار الإعتراف للبحارة العاملين على متن السفن
964	تجديد إقرار الإعتراف للبحارة العاملين على متن السفن المبحرة